Date,Open,High,Low,Close,Volume,Adj Close
2005-06-21,101.199997,102.980003,101.139999,102.199997,6815200,37.278905
2005-06-22,102.00,102.239998,100.50,100.57,4394000,36.68434
2005-06-23,100.00,100.50,98.349998,98.470001,5938200,35.918335
2005-06-24,98.470001,98.639999,96.400002,96.860001,7013000,35.331065
2005-06-27,96.860001,98.00,96.019997,96.919998,3729200,35.35295
2005-06-28,97.25,97.989998,97.040001,97.800003,5409600,35.673944
2005-06-29,97.800003,98.550003,96.50,96.639999,6020000,35.250816
2005-06-30,96.300003,97.029999,95.279999,95.309998,6712200,34.765679
2005-07-01,95.75,96.099998,95.510002,95.93,4190400,34.991834
2005-07-05,95.849998,96.50,95.379997,96.169998,4409400,35.079377
2005-07-06,95.599998,96.080002,94.849998,95.300003,5080600,34.762034
2005-07-07,95.309998,97.510002,95.00,97.349998,5581000,35.509799
2005-07-08,97.75,99.43,97.25,98.699997,5812600,36.00223
2005-07-11,99.43,100.150002,98.800003,99.970001,4666200,36.465482
2005-07-12,99.970001,99.989998,98.400002,98.959999,7608800,36.097069
2005-07-13,98.959999,99.870003,98.620003,99.839996,15703400,36.418061
2005-07-14,50.200001,51.099998,49.50,51.00,7034100,37.205953
2005-07-15,51.00,51.00,50.220001,50.669998,5129700,36.965207
2005-07-18,50.75,51.400002,50.709999,50.82,4145000,37.074637
2005-07-19,52.369999,53.419998,52.259998,53.400002,13782200,38.956822
2005-07-20,53.09,53.599998,52.220001,53.200001,10212300,38.993469
2005-07-21,53.27,53.450001,52.049999,52.299999,8321200,38.333804
